"name","sourceUrl","sourceTitle","query"
"Lionel Messi","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/fifa-world-cup-2026-squads-confirmed","FIFA World Cup 2026 squads confirmed","https://duckduckgo.com/html/?q=Lionel%20Messi%20official%20photo%20FIFA%20World%20Cup"
"Cristiano Ronaldo","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/26-superstars-cristiano-ronaldo","Cristiano Ronaldo: Stats, quotes, highlights, trivia and quiz - FIFA","https://duckduckgo.com/html/?q=Cristiano%20Ronaldo%20official%20photo%20FIFA%20World%20Cup"
"Kylian Mbappe","https://www.gettyimages.com/detail/news-photo/kylian-mbappe-of-france-poses-during-the-official-fifa-news-photo/1442234453","Kylian Mbappe of France poses during the official FIFA World Cup ...","https://duckduckgo.com/html/?q=Kylian%20Mbappe%20official%20photo%20FIFA%20World%20Cup"
"Neymar","https://www.gettyimages.com/detail/news-photo/neymar-of-brazil-poses-during-the-official-fifa-world-cup-news-photo/1443089060","Neymar of Brazil poses during the official FIFA World Cup Qatar 2022 ...","https://duckduckgo.com/html/?q=Neymar%20official%20photo%20FIFA%20World%20Cup"
"Erling Haaland","https://www.gettyimages.com/detail/news-photo/erling-haaland-of-norway-poses-for-a-portrait-during-the-news-photo/2281137887?adppopup=true","Erling Haaland of Norway poses for a portrait during the official...","https://duckduckgo.com/html/?q=Erling%20Haaland%20official%20photo%20FIFA%20World%20Cup"
"Vinicius Junior","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/vinicius-junior-brazil-records-stats-quotes","Vinicius Junior: Stats, quotes, highlights, trivia and quiz - FIFA","https://duckduckgo.com/html/?q=Vinicius%20Junior%20official%20photo%20FIFA%20World%20Cup"
"Luka Modric","https://www.gettyimages.com/detail/news-photo/luka-modric-of-croatia-poses-during-the-official-fifa-world-news-photo/1443076684","Luka Modric of Croatia poses during the official FIFA World Cup Qatar ...","https://duckduckgo.com/html/?q=Luka%20Modric%20official%20photo%20FIFA%20World%20Cup"
"Kevin De Bruyne","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/kevin-de-bruyne-belgium-highlights-stats","Kevin De Bruyne | Profile | FIFA World Cup 2026","https://duckduckgo.com/html/?q=Kevin%20De%20Bruyne%20official%20photo%20FIFA%20World%20Cup"
"Robert Lewandowski","https://www.gettyimages.com/detail/news-photo/robert-lewandowski-of-poland-poses-during-the-official-fifa-news-photo/1442524019","Robert Lewandowski of Poland poses during the official FIFA World Cup ...","https://duckduckgo.com/html/?q=Robert%20Lewandowski%20official%20photo%20FIFA%20World%20Cup"
"Harry Kane","https://www.gettyimages.com/detail/news-photo/harry-kane-of-england-poses-during-the-official-fifa-world-news-photo/2280773881","Harry Kane of England poses during the official FIFA World Cup 2026 ...","https://duckduckgo.com/html/?q=Harry%20Kane%20official%20photo%20FIFA%20World%20Cup"
"Mohamed Salah","https://www.gettyimages.com/detail/news-photo/mohamed-salah-of-egypt-poses-for-a-portrait-during-the-news-photo/2281464380?adppopup=true","Mohamed Salah of Egypt poses for a portrait during the official FIFA ...","https://duckduckgo.com/html/?q=Mohamed%20Salah%20official%20photo%20FIFA%20World%20Cup"
"Luis Suarez","https://www.fifa.com/en/tournaments/mens/worldcup/articles/luis-suarez-career-uruguay","Suarez era at Uruguay comes to end - FIFA","https://duckduckgo.com/html/?q=Luis%20Suarez%20official%20photo%20FIFA%20World%20Cup"
"Sergio Ramos","https://www.gettyimages.com/detail/news-photo/sergio-ramos-of-spain-poses-during-the-official-fifa-world-news-photo/450355658","Sergio Ramos of Spain poses during the official Fifa World Cup 2014 ...","https://duckduckgo.com/html/?q=Sergio%20Ramos%20official%20photo%20FIFA%20World%20Cup"
